City_ID,City,Country,Date,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
81,Barra de Tecoanapa,MX,1666735577,16.5167,-98.75,84.24,74,71,10.0
82,Lavrentiya,RU,1666735578,65.5833,-171.0,26.64,77,95,13.98
83,Kudahuvadhoo,MV,1666735578,2.6708,72.8944,81.01,80,50,12.01
84,Barrow,US,1666735578,71.2906,-156.7887,17.62,93,100,21.85
85,Jackson,US,1666735366,42.4165,-122.8345,56.91,70,40,6.91
86,Poum,NC,1666735579,-20.2333,164.0167,77.0,77,11,9.26
87,Arman',RU,1666735579,59.7,150.1667,18.91,91,78,5.41
88,Tairua,NZ,1666735580,-37.0167,175.85,59.76,66,99,6.62
89,Namatanai,PG,1666735580,-3.6667,152.4333,83.93,69,94,5.48
90,Torbay,CA,1666735543,47.6666,-52.7314,55.49,85,0,3.0
91,Novoagansk,RU,1666735581,61.9449,76.6625,30.0,92,94,21.03
92,San Cristobal,VE,1666735581,7.7669,-72.225,75.38,75,100,1.45
93,Dunedin,NZ,1666735581,-45.8742,170.5036,55.78,56,100,2.51
94,Lincoln,US,1666735582,40.8,-96.667,63.28,32,0,20.71
95,Barentu,ER,1666735583,15.1139,37.5928,77.59,57,40,1.41
96,Mareeba,AU,1666735583,-17.0,145.4333,80.47,83,0,3.94
97,Omboué,GA,1666735583,-1.5746,9.2618,77.05,88,97,2.51
98,Hobart,AU,1666735584,-42.8794,147.3294,56.26,97,75,18.41
99,Visby,SE,1666735584,57.6409,18.296,53.82,87,100,16.11
100,High Level,CA,1666735585,58.5169,-117.136,32.05,79,100,5.19
101,Saldanha,ZA,1666735585,-33.0117,17.9442,59.95,88,19,17.38
102,Batemans Bay,AU,1666735532,-35.7167,150.1833,63.1,60,5,3.6
103,Deming,US,1666735585,32.2687,-107.7586,62.49,20,0,8.05
104,Bluff,NZ,1666735586,-46.6,168.3333,53.8,82,100,9.6
105,Ca Mau,VN,1666735586,9.1769,105.15,75.38,93,100,0.78
106,Mocajuba,BR,1666735587,-2.5842,-49.5072,79.48,78,96,1.12
107,Qaanaaq,GL,1666735587,77.484,-69.3632,22.3,96,100,3.62
108,George Town,MY,1666735304,5.4112,100.3354,77.23,92,20,4.61
109,Jamestown,US,1666735587,42.097,-79.2353,69.44,47,0,5.75
110,San Patricio,US,1666735588,28.017,-97.5169,78.75,20,0,8.97
111,Te Anau,NZ,1666735588,-45.4167,167.7167,51.3,90,100,4.41
112,Bethel,US,1666735588,41.3712,-73.414,69.89,87,100,6.91
113,Cidreira,BR,1666735544,-30.1811,-50.2056,66.16,79,0,19.08
114,Hay River,CA,1666735589,60.8156,-115.7999,31.19,94,100,11.88
115,Kaitangata,NZ,1666735589,-46.2817,169.8464,55.49,57,100,5.03
116,Hyères,FR,1666735484,43.1167,6.1167,68.41,79,100,4.61
117,Cabra,ES,1666735590,37.4725,-4.4421,67.23,50,98,1.61
118,Arraial do Cabo,BR,1666735590,-22.9661,-42.0278,71.44,82,8,9.91
119,Atuona,PF,1666735590,-9.8,-139.0333,77.32,68,3,16.51
120,Darhan,MN,1666735591,49.4867,105.9228,24.22,70,0,6.93
121,Alenquer,BR,1666735591,-1.9417,-54.7383,86.5,53,100,2.17
122,Muhafazat Lahij,YE,1666735591,13.1667,44.5833,75.79,62,6,5.08
123,Goderich,CA,1666735592,43.7501,-81.7165,65.91,60,95,17.02
124,Olafsvik,IS,1666735592,64.8945,-23.7142,41.74,81,100,19.77
125,Arrondissement d'Ajaccio,FR,1666735592,42.0,8.9167,62.65,72,0,8.05
126,Springdale,US,1666735593,36.1867,-94.1288,56.55,63,0,15.99
127,Christchurch,NZ,1666735568,-43.5333,172.6333,64.33,68,83,6.91
128,Aranos,NA,1666735593,-24.1333,19.1167,76.06,13,94,13.18
129,New Norfolk,AU,1666735593,-42.7826,147.0587,55.9,84,100,3.0
